Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
850,Rey Sanchez,28,CHC,NL,95,324,289,28,61,9,0,1,12,7,1,22,42,.211,.272,.253,.525,39,73,6,3,8,2,6,6/H,sanchre01
851,Ryne Sandberg,36,CHC,NL,150,621,554,85,135,28,4,25,92,12,8,54,116,.244,.316,.444,.760,97,246,9,7,1,5,4,*4/H,sandbry01
852,Reggie Sanders,28,CIN,NL,81,334,287,49,72,17,1,14,33,24,8,44,86,.251,.353,.463,.817,114,133,8,2,0,1,4,9/H,sandere02
853,Scott Sanders,27,SDP,NL,46,41,36,2,7,3,0,0,1,0,0,1,11,.194,.216,.278,.494,33,10,0,0,4,0,0,1,sandesc02
854,F.P. Santangelo#,28,MON,NL,152,467,393,54,109,20,5,7,56,5,2,49,61,.277,.369,.407,.776,104,160,6,11,9,5,4,*875H9/46,santaf.01
855,Benito Santiago,31,PHI,NL,136,533,481,71,127,21,2,30,85,2,0,49,104,.264,.332,.503,.835,118,242,8,1,0,2,7,*23H,santibe01
856,Steve Scarsone,30,SFG,NL,105,319,283,28,62,12,1,5,23,2,3,25,91,.219,.286,.322,.608,64,91,6,2,8,1,0,4H5/36,scarsst01
857,Gene Schall,26,PHI,NL,28,79,66,7,18,5,1,2,10,0,0,12,15,.273,.392,.470,.862,128,31,2,1,0,0,0,3H,schalge01
858,Curt Schilling,29,PHI,NL,28,71,63,1,11,1,0,0,4,0,0,1,24,.175,.188,.190,.378,1,12,1,0,7,0,0,1/H,schilcu01
859,Jason Schmidt,23,TOT,NL,19,35,31,1,1,0,0,0,3,0,0,2,15,.032,.091,.032,.123,-66,1,0,0,2,0,0,1,schmija01
860,Jason Schmidt,23,ATL,NL,13,22,19,1,0,0,0,0,1,0,0,2,9,.000,.095,.000,.095,-72,0,0,0,1,0,0,1,schmija01
861,Jason Schmidt,23,PIT,NL,6,13,12,0,1,0,0,0,2,0,0,0,6,.083,.083,.083,.167,-56,1,0,0,1,0,0,/1,schmija01
862,Dick Schofield,33,CAL,AL,13,17,16,3,4,0,0,0,0,1,0,1,1,.250,.294,.250,.544,41,4,0,0,0,0,0,/6H45D,schofdi02
863,Pete Schourek*,27,CIN,NL,13,25,19,1,5,0,0,0,2,0,0,1,5,.263,.300,.263,.563,51,5,0,0,5,0,0,1/H,schoupe01
864,Rick Schu,34,MON,NL,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/5,schuri01
865,Carl Schutz*,24,ATL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,schutca01
